City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-2.66,83,98,3.25,CA,1681348266
1,kodiak,57.79,-152.4072,7.73,42,0,5.14,US,1681348266
2,jamestown,42.097,-79.2353,21.77,45,0,5.14,US,1681347990
3,cotorra,9.0389,-75.7897,26.84,87,100,2.77,CO,1681348267
4,nouadhibou,20.931,-17.0347,18.99,94,75,5.14,MR,1681348267
5,nanortalik,60.1432,-45.2371,0.51,89,100,1.9,GL,1681348268
6,rikitea,-23.1203,-134.9692,25.28,68,48,4.87,PF,1681348268
7,punta arenas,-53.15,-70.9167,4.06,65,0,2.06,CL,1681348109
8,severo-kurilsk,50.6789,156.125,0.02,97,100,11.59,RU,1681348269
9,ushuaia,-54.8,-68.3,4.81,65,100,7.72,AR,1681348269
10,acari,-15.4311,-74.6158,23.33,78,84,1.27,PE,1681348269
11,iqaluit,63.7506,-68.5145,-8.68,95,100,2.65,CA,1681348270
12,bilibino,68.0546,166.4372,-16.64,81,69,1.01,RU,1681348270
13,mataura,-46.1927,168.8643,11.38,77,95,3.74,NZ,1681348270
14,codrington,-38.2667,141.9667,18.8,70,30,3.62,AU,1681348270
15,upernavik,72.7868,-56.1549,-11.9,91,96,2.21,GL,1681348271
16,brainerd,46.358,-94.2008,18.01,39,0,1.54,US,1681348271
17,butaritari,3.0707,172.7902,27.6,73,79,3.23,KI,1681348271
18,timaru,-44.4,171.25,13.13,87,100,4.9,NZ,1681348271
19,quatre cocos,-20.2078,57.7625,23.94,86,23,1.94,MU,1681348272
20,ternate,0.8,127.4,29.11,72,17,1.69,ID,1681348272
21,hobart,-42.8794,147.3294,17.37,68,75,2.57,AU,1681348193
22,cape town,-33.9258,18.4232,17.43,76,89,1.34,ZA,1681348200
23,fairbanks,64.8378,-147.7164,-3.55,74,100,5.14,US,1681348014
24,naples,40.8333,14.25,14.3,91,0,1.54,IT,1681348042
25,uvinza,-5.1036,30.3911,18.41,94,100,0.34,TZ,1681348273
26,esmeralda,21.8525,-78.1169,24.23,75,1,1.69,CU,1681348274
27,patrocinio,-18.9439,-46.9925,18.08,92,100,1.24,BR,1681348274
28,hermanus,-34.4187,19.2345,13.22,68,100,2.82,ZA,1681348274
29,bambous virieux,-20.3428,57.7575,24.01,85,9,1.95,MU,1681348275
30,amga,60.8953,131.9608,-1.18,74,100,2.46,RU,1681348275
31,taungdwingyi,20.0167,95.55,28.99,40,0,3.32,MM,1681348276
32,safranbolu,41.2508,32.6942,6.33,90,83,1.22,TR,1681348276
33,bethel,41.3712,-73.414,22.11,40,0,1.54,US,1681348276
34,hilo,19.7297,-155.09,25.71,81,75,5.14,US,1681348072
35,guerrero negro,27.9769,-114.0611,15.5,75,100,8.31,MX,1681348276
36,meulaboh,4.1363,96.1285,25.39,89,77,1.68,ID,1681348277
37,kazerun,29.6195,51.6541,18.88,47,100,2.51,IR,1681348277
38,thompson,55.7435,-97.8558,-0.49,93,100,1.84,CA,1681348241
39,kapaa,22.0752,-159.319,27.99,79,75,7.72,US,1681348278
40,mahabaleshwar,17.9167,73.6667,21.2,40,100,1.79,IN,1681348278
41,noamundi,22.15,85.5333,27.27,19,0,0.86,IN,1681348279
42,chuy,-33.6971,-53.4616,17.04,73,96,5.74,UY,1681348279
43,provideniya,64.3833,-173.3,-13.94,56,0,3.13,RU,1681348279
44,bredasdorp,-34.5322,20.0403,12.84,79,100,2.51,ZA,1681348280
45,buala,-8.145,159.5921,26.59,83,90,1.73,SB,1681348280
46,pangnirtung,66.1451,-65.7125,-13.64,85,78,2.63,CA,1681348280
47,vinh,18.6667,105.6667,26.88,87,76,2.49,VN,1681348281
48,esna,25.2934,32.554,16.03,35,0,2.71,EG,1681348281
49,catia la mar,10.6038,-67.0303,28.11,78,40,2.57,VE,1681348281
50,ribeira grande,38.5167,-28.7,16.54,94,92,4.02,PT,1681348282
51,vao,-22.6667,167.4833,25.22,74,100,1.27,NC,1681348282
52,tinguindin,19.75,-102.4833,15.56,72,100,3.82,MX,1681348283
53,menomonie,44.8755,-91.9193,28.02,20,0,3.09,US,1681348283
54,pozo colorado,-23.4923,-58.7972,27.44,64,100,2.49,PY,1681348283
55,atuona,-9.8,-139.0333,27.03,68,100,3.58,PF,1681348284
56,cidreira,-30.1811,-50.2056,23.27,79,11,3.12,BR,1681348285
57,tasiilaq,65.6145,-37.6368,2.09,93,100,2.23,GL,1681348286
58,pacific grove,36.6177,-121.9166,15.3,70,40,7.6,US,1681348019
59,port alfred,-33.5906,26.891,18.45,59,93,3.48,ZA,1681348286
60,sarahan,31.5167,77.8,8.78,41,0,4.33,IN,1681348287
61,busselton,-33.65,115.3333,20.45,66,50,10.05,AU,1681348287
62,avarua,-21.2078,-159.775,28.03,65,40,2.57,CK,1681348080
63,bluff,-46.6,168.3333,11.56,77,79,9.17,NZ,1681348247
64,turayf,31.6725,38.6637,7.86,79,4,7.56,SA,1681348288
65,barrow,71.2906,-156.7887,-19.99,71,0,4.63,US,1681348288
66,tomatlan,19.9333,-105.25,25.19,47,8,2.69,MX,1681348289
67,panzhihua,26.5851,101.7128,21.2,26,0,0.88,CN,1681348290
68,panji,-7.7253,114.0995,26.37,86,100,1.61,ID,1681348291
69,pochutla,15.7432,-96.4661,26.57,68,43,1.53,MX,1681348291
70,dongsheng,39.8161,109.9776,10.58,34,22,11.21,CN,1681348291
71,chokurdakh,70.6333,147.9167,-15.13,90,10,2.51,RU,1681348291
72,kloulklubed,7.0419,134.2556,29.28,78,85,4.12,PW,1681348292
73,bengkulu,-3.8004,102.2655,25.23,82,54,1.59,ID,1681348292
74,shu,43.5983,73.7614,9.69,53,63,1.9,KZ,1681348292
75,santa maria,-29.6842,-53.8069,21.98,66,97,0.71,BR,1681348293
76,aban,56.67,96.06,-2.49,70,100,5.83,RU,1681348293
77,carnarvon,-24.8667,113.6333,22.66,71,10,9.22,AU,1681348250
78,te anau,-45.4167,167.7167,11.98,88,100,2.01,NZ,1681348293
79,verkhoyansk,67.5447,133.385,-13.9,84,90,0.16,RU,1681348251
80,bereda,43.2686,-7.5406,5.32,100,99,1.6,ES,1681348294
81,saint george,37.1041,-113.5841,25.8,18,0,5.14,US,1681348067
82,fort nelson,58.8053,-122.7002,9.54,40,76,2.8,CA,1681348294
83,kansanshi,-12.0951,26.4273,16.39,99,100,1.41,ZM,1681348294
84,port hedland,-20.3167,118.5667,26.03,100,75,3.6,AU,1681348294
